Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,Ratings_Imputed,Revenue_Imputed,Airtime_Imputed,SetimentScore_Imputed,BiasScore_Imputed,Viewership_Imputed,Shares_Imputed,AdSpend_Imputed,ControversyFlag_Imputed,MissingDataFlag_Clean,SocialMediaInteractions_Imputed
Ansar Abbasi,SAMAA TV,The News,Balochistan,Quetta,Media,News anchor resigns citing threats,58.93298246,5000000.0,496.0,1.391422508,5.0,928205.0,104267.0,302757.6906,No,,2023-06-12,Urdu,Pro-Govt,28613.0,True,False,False,False,False,True,True,False,False,1,True
Rauf Klassra,ARY News,Express Tribune,Sindh,Islamabad,Media,Geo TV faces heavy fines by PEMRA,47.1273529,5000000.0,241.0,-0.05195834602,3.0,1015495.0,165412.0,5000000.0,Yes,1.0,2020-10-13,,Opposition,9100.0,False,False,True,True,True,True,False,False,False,1,False
Owais Tohid,ARY News,Express Tribune,Sindh,Lahore,Terrorism,Quetta blast: ISPR releases statement,56.06780072,14372782.0,227.0,0.323743805,3.0,1785977.0,197142.0,5000000.0,No,1.0,2024-12-05,Urdu,Neutral,24118.0,True,False,True,False,True,False,False,False,False,1,True
Shahzeb Khanzada,Hum News,Express Tribune,Balochistan,Hyderabad,Media,PEMRA issues warning to multiple channels,55.49601863,1000000.0,1.0,-1.609729521,3.0,446505.0,152772.0,5000000.0,Yes,1.0,2023-03-04,English,Pro-Govt,25844.0,True,False,False,False,True,False,False,False,False,1,True
Ansar Abbasi,Express News,Daily Pakistan,Azad Jammu & Kashmir,Hyderabad,Media,Geo TV faces heavy fines by PEMRA,37.83116424,5000000.0,231.0,1.948914217,1.0,929361.5,97058.0,5000000.0,Yes,1.0,2022-04-01,,Neutral,18295.0,False,True,True,False,False,True,True,True,False,1,False
Shahzeb Khanzada,Abb Takk News,Dawn,Islamabad,Islamabad,Terrorism,Attack on Army convoy in Waziristan,0.0,1000000.0,235.0,0.04409469708,3.0,190410.0,29769.0,5000000.0,Yes,0.0,2022-06-25,English,Neutral,19697.0,False,False,False,True,True,False,False,True,False,1,True
Kamran Khan,Dawn News,Express Tribune,Islamabad,Rawalpindi,Politics,Senate passes constitutional amendment,100.0,5000000.0,233.5,-0.232060017,1.0,985675.0,167498.0,5000000.0,No,1.0,2019-08-14,English,Pro-Govt,26297.0,False,False,True,True,False,True,False,False,False,1,True
Saleem Safi,ARY News,The News,Balochistan,Karachi,Health,Government announces new health policy,20.02158024,20000000.0,236.0,0.1519138414,0.0,593391.0,32975.0,5000000.0,No,1.0,2025-09-28,,Opposition,34247.0,False,False,True,True,False,False,False,False,False,1,False
Asma Shirazi,Abb Takk News,Dawn,Azad Jammu & Kashmir,Karachi,Health,Relief camp set up in Multan,100.0,5000000.0,70.0,-0.08921345663,3.0,1392629.0,100636.0,10000000.0,Yes,0.0,2018-01-18,Urdu,Pro-Govt,15064.0,False,False,False,False,True,False,True,False,False,1,False
Mohsin Raza Khan,Express News,Dawn,Khyber Pakhtunkhwa,Islamabad,Politics,Student unions demand restoration,44.05703895,19470399.0,249.0,-0.1097964136,3.0,1735738.0,86598.0,10000000.0,No,0.0,2018-06-08,English,Pro-Govt,26148.0,False,False,True,False,True,False,False,False,False,1,True
Nusrat Javed,Geo News,Nawa-i-Waqt,Balochistan,Multan,Terrorism,Militant hideout destroyed in KPK,58.592160105000005,20000000.0,235.0,0.136322051,1.0,987399.0,125740.0,5000000.0,No,,2018-12-23,Urdu,Opposition,26437.0,True,False,True,True,False,True,False,True,False,1,True
Umar Cheema,Express News,Express Tribune,Islamabad,Hyderabad,Health,Health crisis follows floods,59.56691534,5000000.0,259.0,0.3304978546,3.0,1331112.0,107753.0,10000000.0,Yes,0.0,2021-11-20,Urdu,Neutral,7486.0,True,False,True,True,True,True,True,False,False,1,False
Matiullah Jan,Express News,The News,Sindh,Islamabad,Politics,Senate passes constitutional amendment,67.26200278,5000000.0,249.0,0.503888548,3.0,368558.0,90333.0,5000000.0,Yes,,2021-05-04,Urdu,Pro-Govt,30946.0,False,True,True,False,True,False,True,False,False,1,False
Shahzeb Khanzada,Abb Takk News,Express Tribune,Sindh,Rawalpindi,Terrorism,Terrorist attack in Quetta leaves 20 dead,28.23697139,1000000.0,254.0,0.04409469708,5.0,755329.5,105597.0,10000000.0,Yes,1.0,2020-01-03,Urdu,Neutral,19697.0,False,False,False,True,False,True,True,False,False,1,True
Mohsin Raza Khan,ARY News,The News,Azad Jammu & Kashmir,Islamabad,Politics,Army chief meets PM over political crisis,56.06780072,1000000.0,82.0,0.22454799715,3.0,247994.0,112311.0,5000000.0,,,2024-01-06,English,Neutral,22870.0,True,False,False,True,True,False,False,True,True,1,True
Kamran Khan,SAMAA TV,The News,Balochistan,Rawalpindi,Judiciary,Case adjourned till next week,97.47882397,6512823.0,300.0,-0.4419801324,3.0,892989.0,2156.0,5000000.0,No,,2019-11-11,English,Neutral,25565.0,False,False,True,False,True,True,False,False,False,1,True
Owais Tohid,Dawn News,Dawn,Balochistan,Quetta,Judiciary,High Court stays government decision,97.57484628,1000000.0,227.5,0.2141552587,3.0,858238.0,187953.0,10000000.0,,,2023-02-10,English,Pro-Govt,29078.5,False,False,True,False,True,False,False,False,True,1,True
Ansar Abbasi,Geo News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Islamabad,Terrorism,Bomb blast near Karachi market,68.14240691,5000000.0,235.0,-1.681934652,3.0,654719.0,93643.0,10000000.0,Yes,0.0,2018-11-03,English,Neutral,28996.0,False,True,True,False,True,False,True,False,False,1,False
Nusrat Javed,SAMAA TV,Daily Pakistan,Balochistan,Multan,Health,Floods devastate Sindh villages,58.32590973,1000000.0,114.0,-0.2223842574,,1430061.0,94237.5,4804413.762,No,1.0,2020-09-05,Urdu,,23224.0,False,False,False,True,True,False,True,False,False,1,True
Asma Shirazi,Hum News,The News,Punjab,Karachi,Media,ARY anchor arrested in midnight raid,55.49601863,4260658.0,224.0,-0.142073277,3.0,1061382.0,104273.0,774390.0896,No,0.0,2024-12-09,English,Pro-Govt,10766.0,True,False,True,False,True,True,True,False,False,1,False
Kamran Shahid,Express News,Jang,Sindh,Quetta,Health,Relief camp set up in Multan,59.56691534,5000000.0,342.0,0.3304978546,,1529266.0,107753.0,5000000.0,,1.0,2018-04-03,Urdu,,23014.0,True,False,False,True,True,False,True,False,True,1,True
Mohsin Raza Khan,ARY News,The News,Punjab,Peshawar,Economy,Revenue from tax declines drastically,100.0,9024880.0,174.0,0.019117020443,,984303.0,53372.0,10000000.0,Yes,1.0,2021-04-14,English,,25935.5,False,False,False,True,False,True,False,False,False,1,True
Mohsin Raza Khan,ARY News,Dawn,Sindh,Karachi,Health,Health crisis follows floods,40.23748251,1000000.0,236.0,0.1519138414,3.0,277036.0,33117.0,293735.9348,No,1.0,2023-05-05,Urdu,Neutral,4575.0,False,False,True,True,True,False,False,False,False,1,False
Rauf Klassra,Dawn News,Dawn,Balochistan,Rawalpindi,Economy,Dollar hits 300 in open market,54.31346769,16569854.0,345.0,0.1821168946,3.0,1003109.0,107905.0,10000000.0,,1.0,2025-11-13,,Opposition,40663.0,True,False,False,True,True,True,True,False,True,1,False
Kamran Khan,Geo News,Nawa-i-Waqt,Balochistan,Peshawar,Economy,PM announces new economic reforms,58.592160105000005,4210876.0,56.0,-0.06426348043999999,3.0,904352.0,38635.0,5000000.0,No,,2021-03-19,English,Pro-Govt,35413.0,True,False,False,True,True,True,False,True,False,1,False
Shahzeb Khanzada,Express News,Jang,Azad Jammu & Kashmir,Lahore,Health,Karachi drainage system collapses,40.94212033,1000000.0,23.0,0.3304978546,3.0,1331112.0,107753.0,2564262.694,No,,2025-11-18,English,Neutral,42503.0,False,False,False,True,True,True,True,False,False,1,False
Rauf Klassra,ARY News,The News,Sindh,Hyderabad,Politics,Army chief meets PM over political crisis,56.06780072,5000000.0,229.0,-0.4231316373,,895308.0,168140.0,5000000.0,Yes,0.0,2019-05-07,,,22870.0,True,True,True,False,True,False,False,False,False,1,True
Mohsin Raza Khan,Hum News,Express Tribune,Khyber Pakhtunkhwa,Peshawar,Politics,Flood relief funds under scrutiny,100.0,1000000.0,248.5,-0.3266747345,0.0,953029.5,128565.0,5000000.0,Yes,,2019-02-16,English,Neutral,33632.0,False,False,True,True,False,True,False,False,False,1,False
Mohsin Raza Khan,ARY News,Jang,Azad Jammu & Kashmir,Multan,Economy,Government to increase petrol price by Rs. 20,56.06780072,1000000.0,74.0,0.019117020443,1.0,984303.0,528.0,2485394.178,No,1.0,2021-05-21,English,Opposition,38997.0,True,False,False,True,False,True,False,False,False,1,False
Talat Hussain,Geo News,Jang,Sindh,Quetta,Health,Health workers go on strike in Punjab,54.6956511,20000000.0,417.0,-0.7632222742,,1087522.0,8189.0,10000000.0,,0.0,2022-08-13,Urdu,,18382.0,False,False,False,False,False,True,False,False,True,1,False
Kamran Khan,ARY News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Karachi,Politics,New tax reforms spark debate in parliament,9.928053238,2618183.0,196.0,-0.4729739942,,1078978.5,106903.5,5000000.0,No,0.0,2018-07-28,Urdu,,13182.0,False,False,False,False,True,True,True,True,False,1,False
Umar Cheema,Geo News,Express Tribune,Punjab,Peshawar,Economy,Budget deficit reaches record high,58.592160105000005,20000000.0,278.0,0.3539815174,3.0,111213.0,101828.5,1683327.549,No,1.0,2020-08-23,English,Pro-Govt,8254.0,True,False,True,False,True,False,True,False,False,1,False
Ansar Abbasi,Geo News,Daily Pakistan,Sindh,Rawalpindi,Education,HEC budget slashed again,58.592160105000005,5000000.0,275.0,-0.3226669595,,1769284.0,101178.0,5000000.0,No,,2024-04-06,English,,26320.0,True,True,True,True,True,False,True,True,False,1,True
Talat Hussain,Abb Takk News,Dawn,Khyber Pakhtunkhwa,Karachi,Terrorism,TTP commander killed in operation,58.74782338,20000000.0,235.0,-0.7170155383,,1164768.0,128591.0,4227897.17,No,0.0,2019-05-07,English,,28306.0,True,False,True,False,False,False,False,False,False,1,False
Nusrat Javed,ARY News,Dawn,Azad Jammu & Kashmir,Peshawar,Media,Digital media gaining popularity,40.38283159,407891.0,241.0,-0.05195834602,3.0,1015495.0,160881.0,5000000.0,No,,2021-07-05,English,Pro-Govt,27238.0,False,False,True,True,True,True,False,False,False,1,False
Owais Tohid,Express News,The News,Azad Jammu & Kashmir,Lahore,Judiciary,Chief Justice orders suo moto on Karachi violence,59.56691534,5000000.0,202.0,0.15489990795,1.0,656021.0,67683.0,5000000.0,,1.0,2024-11-11,English,Pro-Govt,33630.0,True,False,False,True,False,False,False,True,True,1,False
Mohsin Raza Khan,Express News,Dawn,Sindh,Karachi,Education,University students protest fee hikes,94.30535437,20000000.0,239.0,-1.391998091,3.0,1001435.5,97570.0,5000000.0,Yes,1.0,2019-04-14,,Pro-Govt,20589.0,False,False,True,False,True,True,True,False,False,1,True
Ansar Abbasi,ARY News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Quetta,Judiciary,CJ addresses bar association,100.0,5000000.0,175.0,0.036428137145,4.0,999644.0,96990.0,5000000.0,Yes,1.0,2019-05-15,English,Opposition,9979.0,False,True,False,True,False,True,True,True,False,1,False
Shahzeb Khanzada,Geo News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Lahore,Education,University students protest fee hikes,78.62679334,5000000.0,275.0,-0.6618229145,4.0,596207.0,158479.0,5000000.0,No,1.0,2025-06-25,Urdu,Neutral,33908.0,False,True,True,False,False,False,False,False,False,1,False
Matiullah Jan,ARY News,Dawn,Islamabad,Quetta,Health,Floods devastate Sindh villages,88.39514233,20000000.0,267.0,-0.8382716285,3.0,1000345.0,109149.0,5000000.0,No,1.0,2024-04-21,Urdu,Pro-Govt,23737.0,False,False,False,False,True,True,True,False,False,1,False
Kamran Khan,Geo News,Express Tribune,Azad Jammu & Kashmir,Peshawar,Politics,Flood relief funds under scrutiny,58.592160105000005,1000000.0,6.0,0.5172656183,3.0,961484.5,103314.5,5000000.0,Yes,0.0,2025-03-27,Urdu,Opposition,26014.0,True,False,False,False,True,True,True,False,False,1,True
Rauf Klassra,ARY News,Express Tribune,Balochistan,Peshawar,Politics,Senate passes constitutional amendment,64.53491648,5000000.0,229.0,1.729131878,3.0,1470927.0,106903.5,10000000.0,No,,2023-11-26,Urdu,Pro-Govt,870.0,False,False,True,False,True,False,True,False,False,1,False
Najam Sethi,Dawn News,Nawa-i-Waqt,Sindh,Karachi,Health,Health crisis follows floods,48.35474611,20000000.0,81.0,-0.08999652479,,253371.0,87806.0,4247179.553,Yes,1.0,2025-01-15,,,5753.0,False,False,False,True,False,False,True,False,False,1,False
Talat Hussain,ARY News,Dawn,Islamabad,Multan,Education,New universities to be established,26.20833105,1000000.0,253.0,0.02800289181,3.0,1734297.0,27653.0,722138.6045,Yes,1.0,2022-03-22,English,Opposition,22704.0,False,False,True,True,True,False,False,False,False,1,True
Shahzeb Khanzada,Geo News,Nawa-i-Waqt,Sindh,Quetta,Crime,Counter-terrorism department arrests suspects,58.592160105000005,5000000.0,215.0,1.178591319,3.0,1531288.0,89174.0,5000000.0,No,1.0,2025-01-26,Urdu,Neutral,27474.0,True,True,False,False,True,False,True,True,False,1,False
Kamran Khan,Express News,Nawa-i-Waqt,Sindh,Multan,Sports,Babar Azam century wins the game,59.56691534,5000000.0,235.0,-1.023396208,,493858.0,107981.0,10000000.0,,1.0,2019-04-11,Urdu,,48583.0,True,True,False,False,False,False,True,False,True,1,False
Asma Shirazi,Express News,The News,Azad Jammu & Kashmir,Peshawar,Politics,New tax reforms spark debate in parliament,69.20250727,20000000.0,176.0,0.8190713303,3.0,1126872.0,90333.0,5000000.0,,,2019-08-09,English,Neutral,29388.0,False,False,False,False,True,True,True,False,True,1,False
Ansar Abbasi,ARY News,Express Tribune,Islamabad,Hyderabad,Health,Relief camp set up in Multan,35.67058342,1000000.0,236.0,-0.1075970353,3.0,1000345.0,47974.0,5000000.0,No,0.0,2025-05-22,English,Opposition,24817.0,False,False,True,False,True,True,False,True,False,1,True
Rauf Klassra,Geo News,Daily Pakistan,Khyber Pakhtunkhwa,Peshawar,Sports,International squash event begins in Islamabad,58.592160105000005,12934301.0,246.0,1.618129015,3.0,1012541.0,99141.0,10000000.0,No,0.0,2022-10-08,,Opposition,23597.0,True,False,True,False,True,True,True,False,False,1,True
Kamran Khan,Hum News,Nawa-i-Waqt,Punjab,Hyderabad,Economy,PM announces new economic reforms,0.0,5000000.0,233.5,1.404600226,3.0,803618.0,74165.0,5000000.0,No,0.0,2025-12-16,,Neutral,25491.0,False,True,True,False,True,True,False,False,False,1,True
Umar Cheema,ARY News,Daily Pakistan,Khyber Pakhtunkhwa,Islamabad,Politics,Khan addresses rally in Multan,100.0,2507951.0,103.0,0.22454799715,0.0,1078978.5,80505.0,4360661.969,No,0.0,2018-06-20,Urdu,Opposition,21025.0,False,False,False,True,False,True,False,False,False,1,False
Mohsin Raza Khan,Dawn News,Daily Pakistan,Sindh,Peshawar,Politics,Senate passes constitutional amendment,54.31346769,4944081.0,233.5,-0.232060017,3.0,1008403.0,97786.0,5000000.0,,1.0,2019-03-14,Urdu,Opposition,46482.0,True,False,True,True,True,False,True,False,True,1,False
Kamran Khan,SAMAA TV,Express Tribune,Punjab,Peshawar,Media,Digital media gaining popularity,58.93298246,5000000.0,290.0,-0.9427598261,3.0,928205.0,136985.0,3781461.389,No,,2025-12-18,Urdu,Neutral,28613.0,True,True,False,False,True,True,False,False,False,1,True
Rauf Klassra,Dawn News,The News,Azad Jammu & Kashmir,Multan,Terrorism,Security forces foil major terror bid,54.31346769,4878767.0,453.0,0.3153739179,0.0,1043331.0,84924.0,206144.9056,,,2023-07-19,English,Neutral,27640.0,True,False,False,False,False,True,True,False,True,1,True
Umar Cheema,Geo News,Express Tribune,Balochistan,Peshawar,Health,Floods devastate Sindh villages,28.54267626,20000000.0,261.0,-0.01462863279,4.0,1087522.0,99362.0,5000000.0,Yes,0.0,2020-04-18,English,Neutral,42354.0,False,False,True,True,False,True,True,False,False,1,False
Dr. Shahid Masood,ARY News,Daily Pakistan,Azad Jammu & Kashmir,Multan,Health,Relief camp set up in Multan,56.06780072,1000000.0,236.0,0.5917196537,3.0,1000345.0,127321.0,5000000.0,,1.0,2021-08-04,English,Neutral,1607.0,True,False,True,False,True,True,False,False,True,1,False
Dr. Shahid Masood,Hum News,Jang,Punjab,Lahore,Judiciary,Supreme Court issues notice on corruption case,34.75512201,20000000.0,252.0,0.1887393745,0.0,1812684.0,70081.0,10000000.0,Yes,0.0,2023-02-13,English,Opposition,43743.0,False,False,True,True,False,False,False,False,False,1,False
Umar Cheema,ARY News,Daily Pakistan,Islamabad,Islamabad,Judiciary,"Judiciary under pressure, say analysts",56.06780072,5000000.0,46.0,0.036428137145,,999644.0,96990.0,5000000.0,Yes,1.0,2024-11-23,,,39412.0,True,False,False,True,False,True,True,False,False,1,False
Umar Cheema,SAMAA TV,Dawn,Balochistan,Hyderabad,Politics,Opposition stages walkout in National Assembly,58.93298246,10191214.0,200.5,-0.33485856225,,1033388.5,113247.5,1697882.697,No,1.0,2024-06-11,Urdu,,25684.0,True,False,True,True,False,True,True,False,False,1,True
Shahzeb Khanzada,SAMAA TV,Dawn,Sindh,Hyderabad,Terrorism,Bomb blast near Karachi market,76.42884667,5000000.0,251.5,0.069461912655,3.0,1730874.0,23981.0,5000000.0,Yes,0.0,2018-12-01,English,Neutral,21610.0,False,True,True,True,False,False,False,False,False,1,True
Najam Sethi,Express News,The News,Balochistan,Lahore,Media,Newspaper circulation declines,59.56691534,20000000.0,54.0,-0.37724737485000004,,1494562.0,97058.0,10000000.0,Yes,1.0,2018-11-23,,,22760.0,True,False,False,True,True,False,True,False,False,1,True
Kamran Khan,Geo News,Jang,Khyber Pakhtunkhwa,Peshawar,Health,Floods devastate Sindh villages,58.592160105000005,1000000.0,261.0,-0.01462863279,0.0,1087522.0,69745.0,1352492.92,No,0.0,2018-02-28,Urdu,Neutral,28292.0,True,False,True,True,False,True,False,False,False,1,True
Matiullah Jan,SAMAA TV,Dawn,Azad Jammu & Kashmir,Rawalpindi,Terrorism,Quetta blast: ISPR releases statement,58.93298246,13803208.0,422.0,0.069461912655,3.0,819837.0,13208.0,2102593.421,Yes,1.0,2020-12-20,English,Pro-Govt,21610.0,True,False,False,True,True,True,False,False,False,1,True
Ansar Abbasi,ARY News,Jang,Sindh,Quetta,Media,Newspaper circulation declines,56.06780072,5000000.0,241.0,-0.05195834602,,473719.0,119789.0,5000000.0,Yes,1.0,2024-01-26,Urdu,,23456.0,True,False,True,True,True,False,True,True,False,1,True
Kamran Khan,Geo News,Jang,Khyber Pakhtunkhwa,Islamabad,Crime,Counter-terrorism department arrests suspects,58.592160105000005,5000000.0,203.0,-1.854490459,,433793.0,89174.0,10000000.0,,,2024-04-16,Urdu,,30041.0,True,False,True,False,True,False,True,False,True,1,False
Talat Hussain,Geo News,Jang,Balochistan,Hyderabad,Economy,Government to increase petrol price by Rs. 20,100.0,20000000.0,278.0,1.29117372,3.0,904352.0,64928.0,5000000.0,No,,2020-12-04,English,Opposition,25917.5,False,False,True,False,True,True,False,False,False,1,True
Kamran Khan,Hum News,The News,Punjab,Hyderabad,Media,Digital media gaining popularity,55.49601863,5000000.0,26.0,1.78629904,5.0,1690393.0,193014.0,10000000.0,No,,2019-12-20,English,Pro-Govt,25844.0,True,True,False,False,False,False,False,False,False,1,True
Asma Shirazi,Geo News,Jang,Balochistan,Quetta,Politics,Student unions demand restoration,97.35056617,5000000.0,216.5,0.2922247325,2.0,961484.5,60449.0,10000000.0,No,,2023-02-05,English,Pro-Govt,26014.0,False,False,True,False,False,True,False,False,False,1,True
Saleem Safi,Geo News,Jang,Balochistan,Quetta,Sports,Babar Azam century wins the game,58.592160105000005,3181394.0,246.0,-0.096119841525,3.0,1012541.0,134056.0,205744.4995,Yes,,2018-11-01,,Neutral,18750.0,True,False,True,True,True,True,False,False,False,1,False
Ansar Abbasi,ARY News,Daily Pakistan,Azad Jammu & Kashmir,Quetta,Sports,Cricket team departs for World Cup,56.06780072,5000000.0,278.0,1.709764116,5.0,1979238.0,56468.0,5000000.0,,0.0,2018-06-21,,Neutral,25424.0,True,False,True,False,False,False,False,True,True,1,True
Matiullah Jan,SAMAA TV,Daily Pakistan,Islamabad,Islamabad,Health,Polio cases reported in KPK,70.10822034,20000000.0,281.5,1.931725702,3.0,1674261.0,94237.5,10000000.0,No,,2025-02-08,Urdu,Pro-Govt,42617.0,False,False,True,False,True,False,True,False,False,1,False
Rauf Klassra,SAMAA TV,Daily Pakistan,Khyber Pakhtunkhwa,Karachi,Health,Vaccination drive faces shortage,100.0,5000000.0,194.0,1.32805512,3.0,1123518.0,149374.0,5000000.0,No,1.0,2025-04-02,English,Neutral,23224.0,False,False,False,False,True,True,False,True,False,1,True
Kamran Khan,Dawn News,Express Tribune,Balochistan,Lahore,Politics,Election rigging scandal unfolds in Lahore,78.81553728,1000000.0,233.5,1.111612548,3.0,985675.0,90487.0,10000000.0,Yes,0.0,2025-04-04,,Neutral,26297.0,False,False,True,False,True,True,False,False,False,1,True
Kamran Khan,Dawn News,Nawa-i-Waqt,Sindh,Lahore,Terrorism,Suicide bombing in Peshawar mosque,0.0,1000000.0,200.0,0.012362741463,3.0,1043331.0,84924.0,10000000.0,No,1.0,2022-06-16,Urdu,Neutral,27640.0,False,False,True,True,False,True,True,False,False,1,True
Umar Cheema,Express News,The News,Azad Jammu & Kashmir,Hyderabad,Health,Thousands displaced due to rains,41.34076978,7825554.0,259.0,0.4715817351,2.0,1331112.0,59141.0,5000000.0,Yes,,2019-04-04,English,Opposition,23014.0,False,False,True,False,False,True,False,False,False,1,True
Rauf Klassra,Hum News,Jang,Balochistan,Lahore,Judiciary,"Judiciary under pressure, say analysts",55.49601863,1000000.0,252.0,0.1887393745,3.0,803507.0,90316.0,1433521.798,No,,2023-04-22,Urdu,Opposition,16019.0,True,False,True,True,False,False,True,False,False,1,False
Mohsin Raza Khan,Geo News,Nawa-i-Waqt,Sindh,Multan,Health,Doctors protest low salaries,58.592160105000005,5000000.0,261.0,-0.01462863279,4.0,1087522.0,69135.0,10000000.0,Yes,,2020-07-04,,Neutral,6666.0,True,True,True,True,False,True,False,False,False,1,False
Owais Tohid,ARY News,Express Tribune,Punjab,Peshawar,Politics,Flood relief funds under scrutiny,20.11705318,5000000.0,171.0,0.22454799715,,1078978.5,153040.0,5000000.0,No,,2021-07-28,,,22870.0,False,True,False,True,True,True,False,False,False,1,True
Ansar Abbasi,Geo News,The News,Azad Jammu & Kashmir,Peshawar,Media,Ban on talkshows sparks outrage,58.592160105000005,1000000.0,206.0,-0.038432283205,3.0,484056.0,109515.5,5000000.0,No,,2018-01-01,English,Opposition,9434.0,True,False,True,True,True,False,True,False,False,1,False
Mohsin Raza Khan,Hum News,Nawa-i-Waqt,Sindh,Karachi,Health,Health crisis follows floods,6.67215063,1000000.0,422.0,-1.472033576,,1959276.0,67965.0,3079573.975,Yes,,2021-07-09,Urdu,,30254.0,False,False,False,False,True,False,False,False,False,1,False
Shahzeb Khanzada,Express News,Express Tribune,Punjab,Karachi,Economy,PM announces new economic reforms,59.56691534,11948625.0,214.0,0.046992624185,3.0,1095390.5,158675.0,940967.807,Yes,0.0,2023-03-11,English,Pro-Govt,22454.0,True,False,False,True,True,True,False,False,False,1,True
Kamran Khan,Geo News,Express Tribune,Islamabad,Lahore,Judiciary,Court orders release of missing persons,33.30247358,5000000.0,251.0,1.846326265,3.0,1117476.5,95538.0,5000000.0,No,1.0,2024-03-09,English,Neutral,42694.0,False,False,True,False,True,True,True,False,False,1,False
Ansar Abbasi,Dawn News,Express Tribune,Sindh,Rawalpindi,Economy,Remittances fall sharply in July,54.31346769,20000000.0,268.0,1.878725011,5.0,1003109.0,149162.0,10000000.0,No,1.0,2021-09-15,Urdu,Pro-Govt,6048.0,True,False,True,False,False,True,False,False,False,1,False
Asma Shirazi,Express News,Jang,Punjab,Peshawar,Judiciary,Chief Justice orders suo moto on Karachi violence,59.56691534,20000000.0,252.0,-0.3306889722,,1130490.0,69731.0,5000000.0,No,,2021-11-13,Urdu,,25777.0,True,False,True,False,False,True,False,False,False,1,True
Asma Shirazi,Abb Takk News,Jang,Punjab,Peshawar,Media,Newspaper circulation declines,45.83653348,14826050.0,146.0,-0.5242336235,3.0,1249788.0,182841.0,5000000.0,Yes,1.0,2021-07-05,,Neutral,18071.0,False,False,False,False,True,True,False,False,False,1,False
Talat Hussain,Geo News,Dawn,Balochistan,Quetta,Health,Thousands displaced due to rains,91.91276654,1000000.0,330.0,0.472580915,4.0,1087522.0,99362.0,10000000.0,,,2020-07-12,Urdu,Pro-Govt,34733.0,False,False,False,False,False,True,True,False,True,1,False
Kamran Khan,Geo News,Daily Pakistan,Balochistan,Rawalpindi,Media,Digital media gaining popularity,5.559349585,20000000.0,42.0,-0.038432283205,3.0,849756.0,109515.5,5000000.0,Yes,1.0,2021-09-13,Urdu,Opposition,46834.0,False,False,False,True,True,True,True,True,False,1,False
Umar Cheema,Dawn News,Nawa-i-Waqt,Balochistan,Multan,Judiciary,Court orders release of missing persons,54.31346769,5000000.0,204.0,-1.137163109,,1023712.5,109854.0,5000000.0,Yes,0.0,2020-01-15,Urdu,,46825.0,True,True,False,False,True,True,True,False,False,1,False
Ansar Abbasi,Dawn News,Express Tribune,Khyber Pakhtunkhwa,Rawalpindi,Economy,Exports see slight recovery,54.31346769,20000000.0,268.0,-1.376548089,,1625912.0,107905.0,4618386.163,No,0.0,2019-01-03,English,,23678.5,True,False,True,False,True,False,True,False,False,1,True
Ansar Abbasi,Geo News,Jang,Sindh,Rawalpindi,Health,COVID resurfaces in Islamabad schools,58.592160105000005,20000000.0,261.0,-0.01462863279,,1087522.0,189673.0,1581464.111,Yes,0.0,2020-08-05,Urdu,,11808.0,True,False,True,True,False,True,False,False,False,1,False
Kamran Shahid,Geo News,Dawn,Islamabad,Quetta,Health,Climate change worsening floods,58.592160105000005,20000000.0,31.0,-0.01462863279,3.0,839607.0,99362.0,3220457.567,Yes,,2024-11-19,Urdu,Opposition,23310.0,True,False,False,True,True,False,True,False,False,1,False
Nusrat Javed,Hum News,Jang,Punjab,Islamabad,Health,Aid for Balochistan still missing,22.56887088,15550771.0,262.0,-0.046107037395,3.0,845123.0,77155.0,10000000.0,,0.0,2020-06-25,,Opposition,28752.0,False,False,True,True,True,False,False,False,True,1,True
Matiullah Jan,Hum News,Express Tribune,Sindh,Karachi,Politics,Flood relief funds under scrutiny,89.84166618,5000000.0,206.0,-0.3266747345,,953029.5,3329.0,5000000.0,Yes,,2020-09-07,,,23984.0,False,False,False,True,False,True,False,True,False,1,False
Mohsin Raza Khan,Express News,Jang,Balochistan,Rawalpindi,Media,Journalists protest censorship in Islamabad,93.38418122,5000000.0,231.0,-0.37724737485000004,,173757.0,141419.0,4559559.161,Yes,,2024-11-21,Urdu,,45599.0,False,False,True,True,False,False,False,False,False,1,False
Matiullah Jan,ARY News,Express Tribune,Punjab,Multan,Economy,Pakistan seeks investment from Gulf countries,50.72449178,5000000.0,16.0,0.019117020443,5.0,984303.0,15163.0,5000000.0,No,1.0,2018-06-08,Urdu,Neutral,25935.5,False,True,False,True,False,True,False,False,False,1,True
Asma Shirazi,SAMAA TV,The News,Sindh,Islamabad,Health,Aid for Balochistan still missing,24.04487641,5000000.0,65.0,-0.2223842574,3.0,1123518.0,94237.5,3285762.113,No,1.0,2018-06-18,Urdu,Pro-Govt,41361.0,False,True,False,True,True,True,True,False,False,1,False
